name,segment,careers_url,slugs
# Companies to look up with `npm run discover`. Leave careers_url blank to let the script guess.
# For Workday companies (most big pharma), paste any job link from their careers site into careers_url.
# slugs: optional extra guesses separated by ;
Moderna,biotech,,modernatx
Vertex Pharmaceuticals,biotech,,
Biogen,biotech,,
Regeneron,biotech,,
Alnylam Pharmaceuticals,biotech,,
Intellia Therapeutics,biotech,,
Beam Therapeutics,biotech,,
CRISPR Therapeutics,biotech,,
Editas Medicine,biotech,,
Sana Biotechnology,biotech,,
insitro,biotech,,
Dyno Therapeutics,biotech,,
Relay Therapeutics,biotech,,
Denali Therapeutics,biotech,,
Kymera Therapeutics,biotech,,
Vir Biotechnology,biotech,,
Sarepta Therapeutics,biotech,,
Ultragenyx,biotech,,
BioMarin,biotech,,
Asimov,biotech,,
Xaira Therapeutics,biotech,,
Isomorphic Labs,biotech,,
Eikon Therapeutics,biotech,,
Lila Sciences,biotech,,
Arsenal Bio,biotech,,
Tessera Therapeutics,biotech,,
Generation Bio,biotech,,
Iambic Therapeutics,biotech,,
Enveda,biotech,,envedabio
Cellarity,biotech,,
Octant,biotech,,
Profluent,biotech,,
Chai Discovery,biotech,,
EvolutionaryScale,biotech,,
Tempus,biotech,,
Amgen,pharma,,
Bristol Myers Squibb,pharma,,
Merck,pharma,,
Johnson & Johnson,pharma,,
AbbVie,pharma,,
Eli Lilly,pharma,,
Novartis,pharma,,
Sanofi,pharma,,
AstraZeneca,pharma,,
GSK,pharma,,
Takeda,pharma,,
Novo Nordisk,pharma,,
Genentech,pharma,,
10x Genomics,tools,,
Illumina,tools,,
Thermo Fisher Scientific,tools,,
Emerald Cloud Lab,tools,,
Synthego,tools,,
Opentrons,tools,,
Culture Biosciences,tools,,
IQVIA,cro,,
Labcorp,cro,,
Charles River Laboratories,cro,,
Medpace,cro,,
Parexel,cro,,
Syneos Health,cro,,
ZS Associates,consulting,,
Putnam Associates,consulting,,
Trinity Life Sciences,consulting,,
Back Bay Life Science Advisors,consulting,,
Health Advances,consulting,,
L.E.K. Consulting,consulting,,lek
Blue Matter Consulting,consulting,,
Guidehouse,consulting,,
Huron Consulting Group,consulting,,
Clarion Healthcare,consulting,,
Triangle Insights Group,consulting,,
Lumanity,consulting,,
Alira Health,consulting,,
Avalere Health,consulting,,
Flagship Pioneering,vc,,
Third Rock Ventures,vc,,
ARCH Venture Partners,vc,,
Atlas Venture,vc,,
MPM BioImpact,vc,,
Polaris Partners,vc,,
RA Capital Management,vc,,
5AM Ventures,vc,,
Andreessen Horowitz,vc,,a16z
Versant Ventures,vc,,
Foresite Capital,vc,,
Dimension,vc,,
Lux Capital,vc,,
Omega Funds,vc,,
Bain Capital Life Sciences,vc,,
Frazier Life Sciences,vc,,
Broad Institute,academic,,
Dana-Farber Cancer Institute,academic,,
Whitehead Institute,academic,,
Wyss Institute,academic,,
Salk Institute,academic,,
Arc Institute,academic,,
Chan Zuckerberg Biohub,academic,,czbiohub
Allen Institute,academic,,
Fred Hutch,academic,,
Jackson Laboratory,academic,,
